timestamp,iteration,run_mode,frequency_combination,frequencies,frequency_index,num_cores,cores_str,input_arg,application_id,benchmark,variant,time_elapsed,total_energy_consumption,branch_misses,cache_misses,core_combination,platform,avg_temp_before,avg_temp_after,thermal_zone_before0,thermal_zone_before1,thermal_zone_before2,thermal_zone_before3,thermal_zone_before4,thermal_zone_before5,thermal_zone_before6,thermal_zone_before7,frequencies_read,cores,energy_system_j,power_system_w,energy_main_j,power_main_w,energy_cpu_j,power_cpu_w,energy_denver_j,power_denver_w,energy_gpu_j,power_gpu_w,energy_ddr_j,power_ddr_w,thermal_zone0,thermal_zone0_type,thermal_zone1,thermal_zone1_type,thermal_zone2,thermal_zone2_type,thermal_zone3,thermal_zone3_type,thermal_zone4,thermal_zone4_type,thermal_zone5,thermal_zone5_type,thermal_zone6,thermal_zone6_type,thermal_zone7,thermal_zone7_type,cycles,cache_references,context_switches,minor_faults,major_faults,instructions,page_faults
1759360032.9781353,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,21,3mm,no-variation,0.115084932,0.05712029777169229,114223,550528,1,JetsonTX2,43.5,43.9125,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.02198516483569145,0.003388,0.021985165073871615,0.003388,0.0026736018159389495,0.000376,0.007748787773847581,0.001175,0.0009906458616256715,0.00015,0.0017369324107170104,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,44.0,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,31755093,5338086,0,601,0,23074353,601
1759360040.0495493,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,22,atax,no-variation,0.116443618,0.04768750738406181,112772,550614,1,JetsonTX2,43.5,43.85,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.01831898134613037,0.003349,0.01831898134613037,0.003349,0.002215504928588867,0.000376,0.006525933324575424,0.001175,0.0008382953166961669,0.00015,0.001469811121940613,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,31985345,5346164,0,598,0,22929866,598
1759360046.4577646,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,23,bicg,no-variation,0.116701215,0.04357459751915933,134930,549770,1,JetsonTX2,43.5,43.9125,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.016742591990709307,0.003575,0.016742591990709307,0.003575,0.0020261786501407624,0.000451,0.005963240056276322,0.001194,0.0007627099871635436,0.00015,0.00133728484416008,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,44.0,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,32321580,5332655,0,601,0,22946715,601
1759360053.9737694,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,24,doitgen,no-variation,0.124764131,0.05374237072753907,128642,551188,1,JetsonTX2,43.5,43.85,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.02063813966584206,0.003349,0.02063813966584206,0.003349,0.0026742398443222047,0.000451,0.007272839901924134,0.001175,0.0009148952722549437,0.00015,0.0016041163773536683,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,35404191,5943583,0,596,0,22981726,596
1759360060.2798238,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,25,mvt,no-variation,0.116319962,0.04341079227399825,129556,550147,1,JetsonTX2,43.5,43.875,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.01671995224189758,0.003349,0.01671995224189758,0.003349,0.0019475517456531523,0.000376,0.005925954622507095,0.001155,0.0007617608070373535,0.00015,0.0013356206150054932,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,44.0,thermal-fan-est,32275113,5323967,0,601,0,22930398,601
1759360067.1303174,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,26,cholesky,no-variation,0.137634632,0.04803596645736694,145980,554075,1,JetsonTX2,43.5,43.85,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.018521625741004945,0.003462,0.018521625741004945,0.003462,0.002139287059307098,0.000376,0.006545426640033722,0.001175,0.0008382571220397948,0.00015,0.0014697441539764404,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,38139428,6418736,0,607,0,23509520,607
1759360073.9824293,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,27,durbin,no-variation,0.115851509,0.04975124964499473,129968,549615,1,JetsonTX2,43.5,43.9125,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.019360826716899867,0.003462,0.019360826716899867,0.003462,0.0021790945947170255,0.000376,0.006540628780603409,0.001175,0.0008389368653297424,0.00015,0.0014709359705448151,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,44.0,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,31695952,5225566,0,596,0,22892809,596
1759360080.9116983,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,28,gramschmidt,no-variation,0.122329879,0.047760222273588185,126625,551546,1,JetsonTX2,43.5,43.875,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.018388998178005222,0.003462,0.018388998178005222,0.003462,0.002139139860391617,0.000376,0.006535239571094514,0.001175,0.0008382009029388426,0.00015,0.0014696455831527712,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,44.0,thermal-fan-est,33471521,5596983,0,606,0,23152879,606
1759360087.9716997,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,29,lu,no-variation,0.124228981,0.047314267714977265,128732,551999,1,JetsonTX2,43.5,43.9375,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.01815736278891563,0.003311,0.01815736278891563,0.003311,0.002177075054883957,0.000451,0.0065147618961334235,0.001175,0.000838149583339691,0.00015,0.001469555602788925,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,44.0,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,44.0,thermal-fan-est,34172706,5714027,0,602,0,23475562,602
1759360095.8945916,1,sequential,"[0, 0, 0, 0, 0, 0]","[345600, 345600, 345600, 345600, 345600, 345600]",0,1,1,MINI_DATASET,30,ludcmp,no-variation,0.118638831,0.05667377294850349,125010,551765,1,JetsonTX2,43.5,43.85,43.5,43.5,43.0,43.5,40.0,41.0,50.0,43.5,"[345600, 345600, 345600, 345600, 345600, 345600]",1,0.021791336023330686,0.003424,0.021810622923374174,0.003462,0.0026353737187385555,0.000376,0.007708941867351531,0.001175,0.0009906168580055238,0.00015,0.0017368815577030181,0.000263,44.0,BCPU-therm,44.0,MCPU-therm,43.5,GPU-therm,44.0,PLL-therm,40.0,Tboard_tegra,41.5,Tdiode_tegra,50.0,PMIC-Die,43.8,thermal-fan-est,32088991,5327335,0,604,0,23443778,604
